id,orden,palabra,valoracion
-M0DAr48IImoMsTiKhaK,4,Gráficos ,6
-M0DAr48IImoMsTiKhaK,5,Escalas ,3
-M0DUBR8E6m_LBy26ERI,1,Análisis,7
-M0DUBR8E6m_LBy26ERI,2,Estadística,9
-M0DUBR8E6m_LBy26ERI,3,Procesamiento de información,6
-M0DUBR8E6m_LBy26ERI,4,Charla TED,8
-M0DUBR8E6m_LBy26ERI,5,Abstracción,5
-M0KG86wUxbjKn2YZhdp,1,Tecnología,5
-M0KG86wUxbjKn2YZhdp,2,Control social,0
-M0KG86wUxbjKn2YZhdp,3,Estadística,5
-M0KG86wUxbjKn2YZhdp,4,Información,10
-M0KG86wUxbjKn2YZhdp,5,Investigación,10
-M0U6kFwRY7AWj0WNCUa,1,Crecimiento,10
-M0U6kFwRY7AWj0WNCUa,2,Adquirir,10
-M0U6kFwRY7AWj0WNCUa,3,Lectura,10
-M0U6kFwRY7AWj0WNCUa,4,Informarse,10
-M0U6kFwRY7AWj0WNCUa,5,Tiempo,5
-M0U7_pJAU9Ehga0LIWq,1,Información ,10
-M0U7_pJAU9Ehga0LIWq,2,Tecnología ,10
-M0U7_pJAU9Ehga0LIWq,3,Sistemas ,10
-M0U7_pJAU9Ehga0LIWq,4,Computadora,5
-M0U7_pJAU9Ehga0LIWq,5,Freaks ,2
-M0UC5hYZYjtuyKMHBJM,1,Estudio,0
-M0UC5hYZYjtuyKMHBJM,2,Cultura,0
-M0UC5hYZYjtuyKMHBJM,3,Profesores,0
-M0UC5hYZYjtuyKMHBJM,4,Estudiantes ,0
-M0UC5hYZYjtuyKMHBJM,5,Política ,0
-M2M9R-DBBKvCzlYoWR0,1,Homovidens,7
-M2M9R-DBBKvCzlYoWR0,2,Revolución,9
-M2M9R-DBBKvCzlYoWR0,3,Virtual,9
-M2M9R-DBBKvCzlYoWR0,4,Analogico,8
-M2M9R-DBBKvCzlYoWR0,5,Digital,7
-M2MhH9dvNq3RzShEV1-,1,Información,10
-M2MhH9dvNq3RzShEV1-,2,Accionables,9
-M2MhH9dvNq3RzShEV1-,3,Tecnología,5
-M2MhH9dvNq3RzShEV1-,4,Ciencia,9
-M2MhH9dvNq3RzShEV1-,5,Estadística,9
-M2OlvD1JZjfdTGZsbHw,1,Data,8
-M2OlvD1JZjfdTGZsbHw,2,Tecnologia,8
-M2OlvD1JZjfdTGZsbHw,3,Futuro,10
-M2OlvD1JZjfdTGZsbHw,4,Joven,9
-M2OlvD1JZjfdTGZsbHw,5,Noticiero,9
-M2OunC4N1HIrIdCXw7z,1,Información,7
-M2OunC4N1HIrIdCXw7z,2,Tecnología,6
-M2OunC4N1HIrIdCXw7z,3,Avance,6
-M2OunC4N1HIrIdCXw7z,4,Datos,7
-M2OunC4N1HIrIdCXw7z,5,Velocidad,7
-M2Py7OYFbW9okIShiK4,1,Conocimiento ,10
-M2Py7OYFbW9okIShiK4,2,Tecnologia,8
-M2Py7OYFbW9okIShiK4,3,Aprendizaje ,10
-M2Py7OYFbW9okIShiK4,4,Sistematización ,8
-M2Py7OYFbW9okIShiK4,5,Redes,5
-M2QSE5spCFoOnV5s1Ud,1,Informatica ,10
-M2QSE5spCFoOnV5s1Ud,2,Falta de educacion sobre el tema,3
-M2QSE5spCFoOnV5s1Ud,3,Salida laboral,10
-M2QSE5spCFoOnV5s1Ud,4,Futuro,8
-M2QSE5spCFoOnV5s1Ud,5,Mayor exactitud en investigaciones,10
-M2R8KZd0JHGquTVkVba,1,China,3
-M2R8KZd0JHGquTVkVba,2,Crecimiento Economico,9
-M2R8KZd0JHGquTVkVba,3,Más tiempo de ocio,10
-M2R8KZd0JHGquTVkVba,4,Desempleo,1
-M2R8KZd0JHGquTVkVba,5,Inmoralidad,4
-M2Tcm3-ieoFiRKN9awP,1,Tecnologia,10
-M2Tcm3-ieoFiRKN9awP,2,Avance,7
-M2Tcm3-ieoFiRKN9awP,3,Futuro,6
-M2Tcm3-ieoFiRKN9awP,4,Acceso,6
-M2Tcm3-ieoFiRKN9awP,5,Estudio,8
-M2U9XO1xbr_iVeyygQL,1,Futuro cercano,7
-M2U9XO1xbr_iVeyygQL,2,Robots,6
-M2U9XO1xbr_iVeyygQL,3,Tecnología avanzaba,10
-M2U9XO1xbr_iVeyygQL,4,Todo computarizado,4
-M2U9XO1xbr_iVeyygQL,5,Educación a distancia,10
-M2UARgl6K9crUNkHihJ,1,Robots,6
-M2UARgl6K9crUNkHihJ,2,Máquinas,6
-M2UARgl6K9crUNkHihJ,3,Evolución,7
-M2UARgl6K9crUNkHihJ,4,Salud y bienestar,10
-M2UARgl6K9crUNkHihJ,5,Avance tecnológico,7
-M2UCNA1khHcJAK1HfCd,1,Ciencia,9
-M2UCNA1khHcJAK1HfCd,2,Mente,8
-M2UCNA1khHcJAK1HfCd,3,Robots,6
-M2UCNA1khHcJAK1HfCd,4,Trabajo,3
-M2UCNA1khHcJAK1HfCd,5,Avance,8
-M2UNscfItR-VKSKId1m,1,Internet,5
-M2UNscfItR-VKSKId1m,2,Control,1
-M2UNscfItR-VKSKId1m,3,Gobiernos,4
-M2UNscfItR-VKSKId1m,4,Facebook,5
-M2UNscfItR-VKSKId1m,5,Estadisticas,6
-M2UbPdJbmdGlyJ2Ev-E,1,Poder,10
-M2UbPdJbmdGlyJ2Ev-E,2,Compasión,7
-M2UbPdJbmdGlyJ2Ev-E,3,Paciencia ,10
-M2UbPdJbmdGlyJ2Ev-E,4,Posibilidad,10
-M2UbPdJbmdGlyJ2Ev-E,5,Habilidad,10
-M2V1BzPUKVf3m0EIIQ-,1,Análisis ,10
-M2V1BzPUKVf3m0EIIQ-,2,Datos,10
-M2V1BzPUKVf3m0EIIQ-,3,Excel,10
-M2V1BzPUKVf3m0EIIQ-,4,Horas,5
-M2V1BzPUKVf3m0EIIQ-,5,Conectividad ,5
-M2V1e-eFzxowPwwxlek,1,Información,5
-M2V1e-eFzxowPwwxlek,2,Estadísticas,5
-M2V1e-eFzxowPwwxlek,3,Algoritmos,3
-M2V1e-eFzxowPwwxlek,4,Manipulación,3
-M2V1e-eFzxowPwwxlek,5,Conectividad,5
-M2V_ZNG-iA1FZfjiA8Q,1,Tecnologias,9
-M2V_ZNG-iA1FZfjiA8Q,2,Robotica,9
-M2V_ZNG-iA1FZfjiA8Q,3,Internet,8
-M2V_ZNG-iA1FZfjiA8Q,4,Computadorizado,9
-M2V_ZNG-iA1FZfjiA8Q,5,A distancia,9
-M2VaVKUSk1b23LNRn5x,1,Robots,10
-M2VaVKUSk1b23LNRn5x,2,Circuitos,10
-M2VaVKUSk1b23LNRn5x,3,Algoritmos,10
-M2VaVKUSk1b23LNRn5x,4,Programas,10
-M2VaVKUSk1b23LNRn5x,5,Neurociencia,10
-M2VrWvN8OElpLuYICxi,1,Analisis,10
-M2VrWvN8OElpLuYICxi,2,Información,10
-M2VrWvN8OElpLuYICxi,3,Modelos,10
-M2VrWvN8OElpLuYICxi,4,Prediccion,10
-M2VrWvN8OElpLuYICxi,5,Programación,10
-M2VuN29-er5iPCMSLpQ,1,Estadística,5
-M2VuN29-er5iPCMSLpQ,2,Blockchain,5
-M2VuN29-er5iPCMSLpQ,3,Big data,5
-M2VuN29-er5iPCMSLpQ,4,Privacidad,2
-M2VuN29-er5iPCMSLpQ,5,Inteligencia artificial,5
-M2VuN29-er5iPCMSLpQ,6,Programación,5
-M2W1neOZeEpldXzRyb6,1,Información,6
-M2W1neOZeEpldXzRyb6,2,Estudio,7
-M2W1neOZeEpldXzRyb6,3,Aprendizaje,6
-M2W1neOZeEpldXzRyb6,4,Desarrollo,7
-M2W1neOZeEpldXzRyb6,5,Capacitación,6
-M2WVsZ-_IUoEbxBpR26,1,Dataso,10
-M2WVsZ-_IUoEbxBpR26,2,Ayuda,10
-M2WVsZ-_IUoEbxBpR26,3,Importante,9
-M2WVsZ-_IUoEbxBpR26,4,...,5
-M2WVsZ-_IUoEbxBpR26,5,...,5
-M2YQQ8zw9SQr7ReyQse,1,Disciplina,10
-M2YQQ8zw9SQr7ReyQse,2,Información,5
-M2YQQ8zw9SQr7ReyQse,3,Estadística,5
-M2YQQ8zw9SQr7ReyQse,4,Objeto,5
-M2YQQ8zw9SQr7ReyQse,5,Método,5
-M2YdUBFrDxYvSG9E7X-,1,Manipulación,0
-M2YdUBFrDxYvSG9E7X-,2,Control,0
-M2YdUBFrDxYvSG9E7X-,3,Resolución de problemas,5
-M2YdUBFrDxYvSG9E7X-,4,Múltiples estímulos,2
-M2YdUBFrDxYvSG9E7X-,5,Eficacia,2
-M2ZPe7ZxQqZ5wlKKwv_,1,Ciencia ,10
-M2ZPe7ZxQqZ5wlKKwv_,2,Investigar ,10
-M2ZPe7ZxQqZ5wlKKwv_,3,Aprender ,10
-M2ZPe7ZxQqZ5wlKKwv_,4,Enseñar ,10
-M2ZPe7ZxQqZ5wlKKwv_,5,Experimentar ,10
-M2_4r52vwcW_JKMMCW9,1,Desarrollo,10
-M2_4r52vwcW_JKMMCW9,2,Robótica,10
-M2_4r52vwcW_JKMMCW9,3,Trabajo,5
-M2_4r52vwcW_JKMMCW9,4,Programacion,10
-M2_4r52vwcW_JKMMCW9,5,Comunicación,0
-M2_BF9FhKtKerIS-m_v,1,Enseñanza,10
-M2_BF9FhKtKerIS-m_v,2,Pensar,10
-M2_BF9FhKtKerIS-m_v,3,Estudio,10
-M2_BF9FhKtKerIS-m_v,4,Leer,10
-M2_BF9FhKtKerIS-m_v,5,Poder,5
-M2_JmA6B9Hbw9zeKgX9,1,Capacitación,10
-M2_JmA6B9Hbw9zeKgX9,2,Tecnológicos,10
-M2_JmA6B9Hbw9zeKgX9,3,Universidad,10
-M2_JmA6B9Hbw9zeKgX9,4,Educación,10
-M2_JmA6B9Hbw9zeKgX9,5,Compartir,10
-M2_T-DMepuBXF4aDdvC,1,Grande ,10
-M2_T-DMepuBXF4aDdvC,2,Datos ,10
-M2_T-DMepuBXF4aDdvC,3,Informativos ,10
-M2_T-DMepuBXF4aDdvC,4,Engloba,10
-M2_T-DMepuBXF4aDdvC,5,Todo,10
-M2_T-DMepuBXF4aDdvC,6,Beneficio,9
-M2_iO9x2A-WaBMJIQvN,1,Calidad de vida ,8
-M2_iO9x2A-WaBMJIQvN,2,Falta de intimidad ,3
-M2_iO9x2A-WaBMJIQvN,3,Democratización del conocimiento,10
-M2_iO9x2A-WaBMJIQvN,4,Pérdida de fuentes de trabajo ,2
-M2_iO9x2A-WaBMJIQvN,5,Avance tecnológico ,5
-M2aO3obHm9zyRHATdIX,1,Saber,10
-M2aO3obHm9zyRHATdIX,2,Explotación,10
-M2aO3obHm9zyRHATdIX,3,Diverso,10
-M2aO3obHm9zyRHATdIX,4,Académico,0
-M2aO3obHm9zyRHATdIX,5,Elitista,0
-M2ad18zqr2KjGUCMABe,1,Manipulacion,0
-M2ad18zqr2KjGUCMABe,2,Vulnerabilidad,0
-M2ad18zqr2KjGUCMABe,3,Encuesta,5
-M2ad18zqr2KjGUCMABe,4,Masificacion,0
-M2ad18zqr2KjGUCMABe,5,Armado,0
-M2bD0ysQm2fF6YIXdol,1,Tecnologia ,8
-M2bD0ysQm2fF6YIXdol,2,Avanzar,5
-M2bD0ysQm2fF6YIXdol,3,Pensar,10
-M2bD0ysQm2fF6YIXdol,4,Futuro,8
-M2bD0ysQm2fF6YIXdol,5,Incertidumbre,8
-M2bdaw3Z0gr278RXpoB,1,Robotica,2
-M2bdaw3Z0gr278RXpoB,2,Informatica,0
-M2bdaw3Z0gr278RXpoB,3,Sistemas,3
-M2bdaw3Z0gr278RXpoB,4,Programacion,2
-M2bdaw3Z0gr278RXpoB,5,Circuitos,3
-M2bdaw3Z0gr278RXpoB,6,Registros,2
-M2cmwW-dpAVsdv06UqZ,1,Precision,10
-M2cmwW-dpAVsdv06UqZ,2,Tics,10
-M2cmwW-dpAVsdv06UqZ,3,Eficiencia,10
-M2cmwW-dpAVsdv06UqZ,4,Información,10
-M2cmwW-dpAVsdv06UqZ,5,Programación,10
-M2cwJY5t44seDGPjsIO,1,Robots,6
-M2cwJY5t44seDGPjsIO,2,Realidad virtual,7
-M2cwJY5t44seDGPjsIO,3,Celular,2
-M2cwJY5t44seDGPjsIO,4,Disminución de la creatividad,1
-M2cwJY5t44seDGPjsIO,5,Poca interacción social,2
-M2d82bYnFG_lGiw8vbh,1,Prototipos,5
-M2d82bYnFG_lGiw8vbh,2,Computadoras,5
-M2d82bYnFG_lGiw8vbh,3,Algoritmos,5
-M2d82bYnFG_lGiw8vbh,4,Cibernetica,5
-M2d82bYnFG_lGiw8vbh,5,Neurociencia,5
-M2dJa_ek2qv-rRMQuW9,1,Robots,4
-M2dJa_ek2qv-rRMQuW9,2,Computadora,4
-M2dJa_ek2qv-rRMQuW9,3,Apps,5
-M2dJa_ek2qv-rRMQuW9,4,Celular,5
-M2dJa_ek2qv-rRMQuW9,5,Holograma,5
-M2dZI2HKOkR_fDMwA4X,1,De mentira,8
-M2dZI2HKOkR_fDMwA4X,2,Creada,5
-M2dZI2HKOkR_fDMwA4X,3,Robot,8
-M2dZI2HKOkR_fDMwA4X,4,Mucha,0
-M2dZI2HKOkR_fDMwA4X,5,Utópica,5
-M2de2c3Hyqv3ubuhvIU,1,Estadísticas,9
-M2de2c3Hyqv3ubuhvIU,2,Cuantitativo,4
-M2de2c3Hyqv3ubuhvIU,3,Digital,9
-M2de2c3Hyqv3ubuhvIU,4,Posthumano,3
-M2de2c3Hyqv3ubuhvIU,5,Interpretación,7
-M2e6O_WHZM0MXYY-thH,1,Avance,10
-M2e6O_WHZM0MXYY-thH,2,Tecnológico,10
-M2e6O_WHZM0MXYY-thH,3,Conexión,7
-M2e6O_WHZM0MXYY-thH,4,Mundial,10
-M2e6O_WHZM0MXYY-thH,5,Utilidad,10
-M2fELkpj6exAMlFMdKd,1,Información ,0
-M2fELkpj6exAMlFMdKd,2,Base de datos ,0
-M2fELkpj6exAMlFMdKd,3,Accesibilidad ,0
-M2fELkpj6exAMlFMdKd,4,Comunidad ,0
-M2fELkpj6exAMlFMdKd,5,Gran archivo ,0
-M2fa93EaxIziPTIDVZq,1,Robot,6
-M2fa93EaxIziPTIDVZq,2,Facilidad ,9
-M2fa93EaxIziPTIDVZq,3,Futuro,7
-M2fa93EaxIziPTIDVZq,4,Datos,7
-M2fa93EaxIziPTIDVZq,5,Sencillez,8
-M2fccaJlJ2_P0vc866_,1,computación,8
-M2fccaJlJ2_P0vc866_,2,matemática,8
-M2fccaJlJ2_P0vc866_,3,estadística,8
-M2fccaJlJ2_P0vc866_,4,ciencia,8
-M2fccaJlJ2_P0vc866_,5,gráficos,8
-M2fpOVv1Q7R8KPgXPKb,1,Exceso de información,2
-M2fpOVv1Q7R8KPgXPKb,2,Acoso mediático,0
-M2fpOVv1Q7R8KPgXPKb,3,Manipulación de información,2
-M2fpOVv1Q7R8KPgXPKb,4,Posmodernidad,2
-M2fpOVv1Q7R8KPgXPKb,5,Libre acceso,8
-M2g4wSHzU9TUw55916b,1,Informática,5
-M2g4wSHzU9TUw55916b,2,Tecnología,8
-M2g4wSHzU9TUw55916b,3,Información,10
-M2g4wSHzU9TUw55916b,4,Desinformación,0
-M2g4wSHzU9TUw55916b,5,Internet,7
-M2hqEpur6zagMpnQfmf,1,Información,10
-M2hqEpur6zagMpnQfmf,2,Global,10
-M2hqEpur6zagMpnQfmf,3,Buscador,10
-M2hqEpur6zagMpnQfmf,4,Ordenador,10
-M2hqEpur6zagMpnQfmf,5,Gratis,10
-M2i0rFGM9ErVXck8vtf,1,Sobreinformación,1
-M2i0rFGM9ErVXck8vtf,2,Invasión de la privacidad,0
-M2i0rFGM9ErVXck8vtf,3,Globalización,5
-M2i0rFGM9ErVXck8vtf,4,Acceso a información,8
-M2i0rFGM9ErVXck8vtf,5,Manipulación de datos sensibles,0
-M2i3IK6BZvZimYl7-KA,1,Muchos datos,10
-M2i3IK6BZvZimYl7-KA,2,Desborde,2
-M2i3IK6BZvZimYl7-KA,3,Virtualidad,8
-M2i3IK6BZvZimYl7-KA,4,Usos de datos,2
-M2i3IK6BZvZimYl7-KA,5,Análisis,10
-M2ieGdfrzpkyEWXEE6x,1,Programación,8
-M2ieGdfrzpkyEWXEE6x,2,Robótica ,3
-M2ieGdfrzpkyEWXEE6x,3,Modelos predictivos,10
-M2ieGdfrzpkyEWXEE6x,4,Ciencia de datos,10
-M2ieGdfrzpkyEWXEE6x,5,Análisis,10
-M2ifpkvdvYbkERCFhN5,1,Python,10
-M2ifpkvdvYbkERCFhN5,2,Lenguaje natural ,10
-M2ifpkvdvYbkERCFhN5,3,Lenguaje R,10
-M2ifpkvdvYbkERCFhN5,4,Procesamiento de Imágenes ,10
-M2ifpkvdvYbkERCFhN5,5,Data mining,10
-M2ifpkvdvYbkERCFhN5,6,Datasets,8
-M2ip3BbWLmfSrgz2uYm,1,Software,0
-M2ip3BbWLmfSrgz2uYm,2,Internet,5
-M2ip3BbWLmfSrgz2uYm,3,Acceso,5
-M2ip3BbWLmfSrgz2uYm,4,Conocimientos,5
-M2ip3BbWLmfSrgz2uYm,5,Dispositivos,5
-M2j8TRe1A9HzDQOz-Dl,1,Datos,4
-M2j8TRe1A9HzDQOz-Dl,2,Internet,8
-M2j8TRe1A9HzDQOz-Dl,3,Web,3
-M2j8TRe1A9HzDQOz-Dl,4,Aplicaciones,7
-M2j8TRe1A9HzDQOz-Dl,5,Información,3
-M2j_dvQIpocfeq_ONWP,1,Banco,3
-M2j_dvQIpocfeq_ONWP,2,Datos,8
-M2j_dvQIpocfeq_ONWP,3,Códigos,9
-M2j_dvQIpocfeq_ONWP,4,Logaritmos,7
-M2j_dvQIpocfeq_ONWP,5,Información,7
-M2k60XhyQZGUZBnXYRd,1,Máquina de Turing,5
-M2k60XhyQZGUZBnXYRd,2,Libre albedrío,8
-M2k60XhyQZGUZBnXYRd,3,Velocidad,5
-M2k60XhyQZGUZBnXYRd,4,Utilidad,7
-M2k60XhyQZGUZBnXYRd,5,Desarrollo científico,9
-M2kRT_Ls0HPsuxuN9ev,1,Información,10
-M2kRT_Ls0HPsuxuN9ev,2,Globalización,6
-M2kRT_Ls0HPsuxuN9ev,3,Cadena,5
-M2kRT_Ls0HPsuxuN9ev,4,Masivo,4
-M2kRT_Ls0HPsuxuN9ev,5,Empresa,3
-M2kwW0AiueR0x58iZSc,1,Skynet,0
-M2kwW0AiueR0x58iZSc,2,Accesibilidad,10
-M2kwW0AiueR0x58iZSc,3,Sustentabilidad,10
-M2kwW0AiueR0x58iZSc,4,T-1000,0
-M2kwW0AiueR0x58iZSc,5,Comodidad,10
-M2lLMSCyvaXR5i80f_p,1,Ciencia,10
-M2lLMSCyvaXR5i80f_p,2,Tecnología ,10
-M2lLMSCyvaXR5i80f_p,3,Procedimiento ,10
-M2lLMSCyvaXR5i80f_p,4,Educación ,10
-M2lLMSCyvaXR5i80f_p,5,Investigación ,10
-M2n45K5ko32iExLG1_O,1,Información,10
-M2n45K5ko32iExLG1_O,2,Masivo,4
-M2n45K5ko32iExLG1_O,3,Invasivo,0
-M2n45K5ko32iExLG1_O,4,Sistemático,5
-M2n45K5ko32iExLG1_O,5,Estadística,7
-M2nvwPnmHoGrla4CCtb,1,Información ,10
-M2nvwPnmHoGrla4CCtb,2,Descifrar ,8
-M2nvwPnmHoGrla4CCtb,3,Interacción ,10
-M2nvwPnmHoGrla4CCtb,4,Construcción ,9
-M2nvwPnmHoGrla4CCtb,5,Socialización ,9
-M2nzPpggxIe-XlaG5i-,1,Información,9
-M2nzPpggxIe-XlaG5i-,2,Estudio,10
-M2nzPpggxIe-XlaG5i-,3,Conocimiento,10
-M2nzPpggxIe-XlaG5i-,4,Apertura,10
-M2nzPpggxIe-XlaG5i-,5,Posibilidades,10
-M2oCta_znnbqDsXi_is,1,Datos ,5
-M2oCta_znnbqDsXi_is,2,Grandes ,9
-M2oCta_znnbqDsXi_is,3,Complejos ,5
-M2oCta_znnbqDsXi_is,4,Requiere procesar ,6
-M2oCta_znnbqDsXi_is,5,Por otros programas ,5
-M2oGyRuvL8b87j5Os7v,1,redes neuronales,10
-M2oGyRuvL8b87j5Os7v,2,big data,5
-M2oGyRuvL8b87j5Os7v,3,falta de privacidad,0
-M2oGyRuvL8b87j5Os7v,4,algoritmos,7
-M2oGyRuvL8b87j5Os7v,5,autonomia computacional,5
-M2oZJGI2WdGUjFsLeND,1,Poder,3
-M2oZJGI2WdGUjFsLeND,2,Valor,10
-M2oZJGI2WdGUjFsLeND,3,Paciencia,4
-M2oZJGI2WdGUjFsLeND,4,Libertad,10
-M2oZJGI2WdGUjFsLeND,5,Amor,10
-M2ogUdDSQZUIrYi_-Fe,1,libertad,10
-M2ogUdDSQZUIrYi_-Fe,2,saber,10
-M2ogUdDSQZUIrYi_-Fe,3,generosidad,10
-M2ogUdDSQZUIrYi_-Fe,4,enseñaje,10
-M2ogUdDSQZUIrYi_-Fe,5,comunicaciòn,10
-M2ogUdDSQZUIrYi_-Fe,6,vìnculos,10
-M2ogUdDSQZUIrYi_-Fe,7,construcciòn,10
-M2oma_G7HRxToHw-cGT,1,internet,10
-M2oma_G7HRxToHw-cGT,2,datos,10
-M2oma_G7HRxToHw-cGT,3,programacion,10
-M2oma_G7HRxToHw-cGT,4,probabilidad,5
-M2oma_G7HRxToHw-cGT,5,procesamiento,5
-M2omr70hGiMyrhnDOiz,1,Robots,6
-M2omr70hGiMyrhnDOiz,2,Tecnología,10
-M2omr70hGiMyrhnDOiz,3,Futuro,7
-M2omr70hGiMyrhnDOiz,4,Información,7
-M2omr70hGiMyrhnDOiz,5,Inseguridad,3
-M2opIfIguaX0fJ1Itbk,1,Tiempo,7
-M2opIfIguaX0fJ1Itbk,2,Formación ,7
-M2opIfIguaX0fJ1Itbk,3,Práctica,10
-M2opIfIguaX0fJ1Itbk,4,Análisis,10
-M2opIfIguaX0fJ1Itbk,5,Observación,10
-M2ovBqkhB2CSvAjDvYp,1,Graficos,10
-M2ovBqkhB2CSvAjDvYp,2,estadisticas,10
-M2ovBqkhB2CSvAjDvYp,3,simple,10
-M2ovBqkhB2CSvAjDvYp,4,rapido,2
-M2ovBqkhB2CSvAjDvYp,5,resumen,6
-M2p0lkjAciPE1wOCWYj,1,robots,7
-M2p0lkjAciPE1wOCWYj,2,computadoras,10
-M2p0lkjAciPE1wOCWYj,3,ciencia,10
-M2p0lkjAciPE1wOCWYj,4,ingenieros,10
-M2p0lkjAciPE1wOCWYj,5,programacion,7
-M2p0ylnKukKQXwe_hNM,1,Datos ,5
-M2p0ylnKukKQXwe_hNM,2,Información ,5
-M2p0ylnKukKQXwe_hNM,3,Recopilación ,5
-M2p0ylnKukKQXwe_hNM,4,Procesamiento ,5
-M2p0ylnKukKQXwe_hNM,5,Masivo ,5
-M2p1H-fvCeWb85IyKVJ,1,Robots,5
-M2p1H-fvCeWb85IyKVJ,2,No humanos,2
-M2p1H-fvCeWb85IyKVJ,3,Avance,7
-M2p1H-fvCeWb85IyKVJ,4,Mente propia,5
-M2p1H-fvCeWb85IyKVJ,5,Futuro,7
-M2p1iZ562gX6csi37hv,1,Progreso ,10
-M2p1iZ562gX6csi37hv,2,Eficiencia ,10
-M2p1iZ562gX6csi37hv,3,Futuro,7
-M2p1iZ562gX6csi37hv,4,Desconfianza,0
-M2p1iZ562gX6csi37hv,5,Competencia,3
